Total Household Income,Total Food Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,Fashion Spendings,Housing Expenditure,Medical Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Farming and Gardening expenses,Miscellaneous and Special Occasions Expenditure,Sex,Age,Marital Status,Total Number of Family members,Savings
524702,128277.5,3000,0,0,4607,33636,3457,4776,2880,36200,19370,41256,0,49,0,4,247242.5
198235,68239.0,2360,960,2132,8230,14370,3520,12900,5700,29300,0,10650,1,40,1,3,39874.0
82785,71845.0,4545,270,4525,2735,7140,70,324,420,425,0,6950,1,39,1,6,-16464.0
123169,85590.5,6280,480,0,1390,10038,60,6840,660,300,15580,4262,1,52,1,3,-8311.5
265009,100983.5,6400,1040,0,4620,14322,140,6996,2100,0,18887,9472,1,65,1,4,100048.5
152883,81569.0,0,180,240,1930,16182,95,4044,1500,0,0,5994,1,46,1,4,41149.0
270911,112705.5,6200,1920,0,7930,12126,340,12696,1848,0,72290,12526,1,45,1,5,30329.5
186801,102694.5,1130,480,0,4085,20976,75,4140,3000,50,51840,7062,1,33,1,5,-8731.5
171152,65532.0,10550,0,0,2780,4170,200,7200,1800,8000,0,7010,0,17,0,2,63910.0
938727,162684.5,15620,0,0,7740,38730,1786,5160,7200,13180,0,19210,1,53,1,6,667416.5
241145,87381.0,2590,1268,910,5610,10668,49,3678,1080,750,65660,8634,1,49,1,4,52867.0
342890,121208.5,3320,2080,1820,8230,9798,123,2940,5520,250,52260,15358,1,35,1,7,119982.5
150856,98455.0,3850,1040,0,6140,5130,89,480,1500,960,49745,5148,1,38,1,7,-21681.0
187089,69695.5,300,0,0,2149,17154,78,14628,1200,0,32475,7130,1,53,1,3,42279.5
125065,50833.5,0,0,0,395,9180,77,960,0,0,33540,2202,1,75,0,2,27877.5
190982,77416.0,3320,0,0,5045,10920,121,1980,264,375,19240,6310,0,36,2,4,65991.0
130860,94782.5,1751,1208,910,1105,9552,80,1440,420,470,35475,7834,1,67,2,5,-24167.5
180736,97621.0,2755,0,780,1640,8898,61,1680,1080,350,37893,13364,1,57,1,8,14614.0
130360,74365.5,0,520,0,3610,13500,147,1500,660,0,42190,5674,0,63,2,4,-11806.5
174856,82711.0,4520,1820,0,2060,6750,1445,7440,840,215,49658,5268,1,40,1,5,12129.0
195330,80631.5,5750,1280,2715,6390,12210,610,8010,1320,8060,72315,5928,1,60,1,4,-9889.5
156410,75434.0,4520,960,780,2030,9756,50,7200,1200,800,55510,4924,1,62,1,4,-6754.0
212722,141708.0,11740,570,0,7540,7422,102,9000,1080,5960,27410,7826,1,45,1,6,-7636.0
96814,73266.0,2310,390,0,4905,6390,570,1560,660,200,0,6492,1,41,1,5,71.0
137900,57530.0,5820,820,1606,3610,9150,160,9480,840,225,36115,5468,1,43,1,3,7076.0
137800,61622.5,3645,1440,0,3380,6858,140,4380,1260,150,36200,5930,1,45,1,3,12794.5
88030,49683.5,0,0,0,2560,5568,85,960,0,0,3700,3384,1,61,1,2,22089.5
257330,80895.0,0,390,0,3920,17100,420,9000,1080,0,5500,6506,1,45,1,3,132519.0
124532,99924.5,4285,1092,1280,2860,6438,266,7020,420,200,22820,6218,0,58,2,6,-28291.5
158084,87076.0,7120,1170,0,7920,7500,180,13920,1320,3000,61222,7304,1,34,1,6,-39648.0
94764,64014.5,0,0,0,2460,5910,267,960,0,0,28835,2490,1,67,1,2,-10172.5
177596,93901.5,3390,1638,780,4625,5910,250,2460,540,760,25770,8248,1,34,1,6,29323.5
421210,88669.5,0,910,0,3370,5220,215,3300,480,0,13020,7072,1,25,1,2,298953.5
98650,95477.5,0,1040,0,3835,5652,2600,2160,900,0,0,5712,1,29,1,4,-18726.5
189385,115381.0,13500,1170,0,5990,7230,150,14280,1080,14800,19630,8836,1,53,1,5,-12662.0
161070,66738.0,200,1390,0,4640,5832,160,13920,1320,0,17285,16864,0,83,2,5,32721.0
132305,51455.0,3410,0,0,1730,10110,4229,4230,420,0,0,5982,0,90,2,2,50739.0
190336,122946.5,8360,456,0,5790,6900,3700,10620,1560,11900,31570,8132,1,52,1,6,-21598.5
183650,96808.5,7450,2928,1629,2930,7026,120,13860,1320,380,28940,8826,1,78,2,4,11432.5
223210,108532.5,17800,252,0,6800,8220,2250,16200,1560,5100,19535,8382,0,79,2,6,28578.5
275450,97506.5,18330,0,0,3650,8160,200,11700,3300,7000,88975,8392,0,60,2,4,28236.5
165262,72552.0,10930,486,520,5920,10476,140,12240,1740,9600,60805,9257,1,63,1,4,-29404.0
156872,88320.0,1695,492,2715,4900,7236,1000,2400,840,100,37380,9408,1,65,1,6,386.0
311598,97191.5,15800,416,0,2240,21600,170,9120,2280,0,0,42906,1,48,1,4,119874.5
824148,94343.0,15200,0,3620,13420,35550,2590,27660,13494,82000,0,75746,1,54,1,2,460525.0
169790,86765.5,13990,2920,2715,4580,23904,144,10812,1620,5500,0,10968,1,41,1,5,5871.5
132275,85783.0,9700,210,5430,7083,22596,205,14712,3864,8600,0,17732,1,40,1,4,-43640.0
1095134,100105.0,11800,0,0,22830,26580,508,4560,1620,6000,0,7186,1,29,1,5,913945.0
155495,64494.5,0,0,2715,2480,11340,440,8310,1020,0,0,4132,1,52,1,2,60563.5
1116607,134987.0,16620,2600,0,19520,34272,1315,87120,3900,17000,0,52458,1,49,1,6,746815.0
272500,86053.5,24150,1458,390,5410,24942,6828,7440,4332,6000,0,25326,1,65,1,5,80170.5
968011,244709.0,35850,3210,0,18235,47280,4500,5058,3480,22500,0,35114,1,75,1,10,548075.0
205570,68570.0,0,3214,0,4145,26718,960,57030,2760,0,0,2478,1,67,1,2,39695.0
547460,97192.5,8310,0,0,8760,26136,150,10398,2280,5500,0,12686,0,36,1,3,376047.5
206490,79521.0,2190,0,7814,10800,20112,6120,5520,1920,5150,0,16778,1,53,1,3,50565.0
113020,70645.0,2990,1170,5430,4180,9804,160,4824,1440,200,0,6116,0,35,0,3,6061.0
740110,172074.0,38560,2720,0,19775,42000,1060,6720,8640,34900,0,63254,1,63,1,7,350407.0
523692,58730.5,375,0,0,1200,13320,1800,2202,2004,0,0,4900,0,69,0,2,439160.5
100806,61408.5,5980,0,0,1010,7338,50,1980,564,280,0,4690,1,28,3,3,17505.5
510390,98608.5,1150,4374,832,2530,26490,6050,4680,2400,300,0,19640,1,56,1,6,343335.5
730210,169242.5,22050,0,7240,11150,35982,4100,22140,12000,0,0,53186,1,66,1,4,393119.5
113852,95442.5,14220,756,0,2760,9648,120,12120,672,400,0,6894,1,37,1,7,-29180.5
132645,53815.0,4120,0,0,1830,17310,100,3576,1680,100,0,9028,0,21,0,2,41086.0
301423,131104.0,17060,504,0,3933,18804,1150,19920,4608,11957,0,17066,0,60,2,8,75317.0
143839,75791.0,0,648,520,4280,19074,360,4800,1380,0,0,7086,1,41,1,4,29900.0
301240,108358.5,16040,1534,0,3430,29028,0,12120,2700,600,0,29466,1,45,1,5,97963.5
117410,98677.5,4450,160,9412,3110,3816,0,8700,2460,1650,0,8508,1,37,1,5,-23533.5
191548,65953.0,0,1645,3620,2830,5700,100,3600,540,0,38635,5406,1,51,1,2,63519.0
111764,67303.5,0,1080,0,1570,4800,128,960,420,0,24800,3018,1,51,1,2,7684.5
226761,98793.5,9267,0,0,3125,9060,1470,15600,1800,0,0,16970,1,26,1,4,70675.5
153585,105301.5,20845,2925,6335,8740,7200,220,8784,2760,2350,0,14970,1,38,1,6,-26845.5
132060,84525.0,4285,1680,4540,4860,5100,120,4800,270,100,35205,6804,1,38,1,5,-20229.0
264520,117592.5,700,4615,5792,3380,9474,120,5598,1680,0,0,21402,1,53,1,4,94166.5
267970,98843.0,6285,1105,2534,1750,13794,150,9660,3060,550,26905,25454,1,68,1,4,77880.0
150721,94599.0,9888,510,7375,2860,7500,120,7200,960,700,28970,11606,1,34,1,7,-21567.0
163081,99255.0,4285,1105,6832,2320,6840,194,5160,900,600,28010,11288,1,62,1,4,-3708.0
260631,100139.0,5980,2145,2265,3170,9348,0,4320,3240,300,20795,11756,1,50,1,3,97173.0
88420,33451.0,0,1690,9955,600,4422,60,240,0,0,20665,2648,1,43,0,1,14689.0
148088,85401.0,4120,2350,416,2970,5232,50,3720,1320,500,0,5440,1,46,2,4,36569.0
374779,157038.5,20325,1105,16290,6330,14940,120,17520,2640,12300,24255,14356,1,63,1,7,87559.5
190890,93902.0,900,1170,4706,3150,8352,0,5340,1980,0,15585,11640,1,64,1,4,44165.0
115832,77863.0,0,1170,7375,1870,10074,120,780,720,0,17700,8646,1,60,1,3,-10486.0
171702,80919.5,900,1105,6335,1650,12798,0,3540,1680,0,1700,7110,1,45,1,2,53964.5
128305,102398.5,14220,1560,9050,4870,9456,100,6720,2160,600,2800,10106,1,45,1,5,-35735.5
91955,67328.5,450,1170,3620,1435,5352,120,1380,480,50,24055,6874,1,32,1,4,-20359.5
84369,52827.0,0,510,2730,1570,5952,145,1380,1080,0,0,6488,1,55,2,2,11687.0
174541,80961.0,2825,585,5544,2895,6060,198,4200,600,150,0,8080,1,63,1,4,62443.0
211966,120242.5,2895,3564,5972,11430,13680,401,2880,1260,600,29266,7226,1,36,1,7,12549.5
372972,171540.0,4230,4082,728,23220,19614,4090,12690,6000,3850,0,33100,1,42,1,5,89828.0
300324,83156.0,0,0,0,1450,14766,380,480,0,0,0,16124,0,65,0,2,183968.0
235698,83339.5,4066,1440,0,3265,12612,430,3210,1428,280,34250,31626,1,38,1,6,59751.5
91700,57382.5,0,0,0,3350,7044,0,960,1476,0,23275,2334,0,55,2,2,-4121.5
196445,89365.0,8000,1580,0,3780,17850,50,3600,1620,10100,0,7104,1,52,1,3,53396.0
165288,73557.5,0,0,0,1750,12900,10583,1680,0,0,0,21326,1,72,1,2,43491.5
135370,85275.5,3165,360,1924,7295,10800,1000,2700,492,5870,38675,5886,1,48,1,4,-28072.5
389237,90958.5,3500,0,1685,3770,18948,950,3060,1800,18000,9615,30328,1,62,1,2,206622.5
184157,97240.5,1300,1014,390,21150,8220,150,1080,1020,200,36815,6216,1,50,1,5,9361.5
201890,113454.0,0,1410,1040,2290,7518,204,1500,1380,0,27450,5370,0,60,2,6,40274.0
223295,87384.5,6090,0,0,3690,15660,14900,3600,1500,6900,0,6432,0,77,2,2,77138.5
167335,75937.0,8250,1080,0,660,11700,175,5700,660,6000,47630,4206,1,65,1,3,5337.0
144150,113319.0,5395,1310,724,1410,6870,2970,2100,360,150,43105,3726,1,50,1,7,-37289.0
141396,85196.0,7025,750,0,6250,8400,1036,2280,720,150,39582,2442,1,36,1,4,-12435.0
134410,69558.0,2590,855,0,3430,6750,2298,1500,540,1080,24455,3838,1,31,3,3,17516.0
391100,116848.0,3600,0,1810,1980,15300,3600,5400,2520,0,0,5094,0,83,0,3,234948.0
143105,98525.5,930,1020,0,1055,8232,0,2400,480,230,31610,5708,1,65,1,8,-7085.5
221610,92453.5,3420,546,0,2655,7500,1100,3660,870,1500,0,10578,1,46,1,6,97327.5
167560,88296.0,3355,468,0,4025,8922,257,3594,1800,300,22150,8056,1,35,1,4,26337.0
246260,154063.5,4325,1580,480,2260,7530,1060,2100,660,200,80180,4854,1,38,1,12,-13032.5
213660,119850.5,11495,0,0,1450,8010,4110,4500,300,0,0,3294,1,53,1,7,60650.5
199736,108528.0,2425,510,260,3330,8808,260,1800,840,0,30930,4548,1,43,1,8,37497.0
407420,129430.5,23725,0,0,1660,15900,1729,3000,480,10000,0,4062,1,53,1,6,217433.5
161400,101553.5,2590,240,0,2605,7566,430,1200,660,0,34175,4596,0,86,2,8,5784.5
192180,95236.0,3885,240,2263,2265,7512,240,1620,390,220,37960,6750,1,38,1,5,33599.0
541622,67407.5,0,0,0,3775,14100,4000,3300,900,0,0,4482,1,83,1,3,443657.5
568983,139246.0,14130,60,0,14972,13242,496,16308,5400,22050,0,41436,1,38,1,5,301643.0
111952,90806.0,8605,252,0,2025,4500,1400,240,432,630,19170,6048,1,41,2,4,-22156.0
195698,95050.5,8605,0,160,1430,4620,150,1440,510,300,0,6732,1,64,1,6,76700.5
50561,24155.5,0,0,0,400,3600,50,300,0,0,0,1032,0,79,2,1,21023.5
142976,61244.0,0,0,780,1280,5400,100,1140,582,0,33548,4240,0,69,2,3,34662.0
203020,102444.5,8425,0,1560,4015,6924,685,2700,1182,300,26145,6222,1,45,1,6,42417.5
147180,70872.0,1865,1820,780,3770,5190,470,2028,744,300,19070,5508,1,30,1,2,34763.0
132110,86330.5,4120,1586,390,1930,6012,120,420,432,300,20295,6322,1,35,1,6,3852.5
123860,63672.0,1865,0,0,3035,8520,100,3480,936,290,16345,5230,0,29,3,2,20387.0
163580,80135.5,3245,4222,1170,5559,7260,245,6150,1608,260,16930,8070,1,58,3,4,28725.5
401598,112033.0,11890,1140,390,13605,25020,725,55008,3972,4500,0,7576,1,39,1,3,165739.0
190634,81362.0,1695,4264,780,3706,8034,120,1920,1080,150,10930,4588,1,36,1,3,72005.0
171810,66373.5,5250,1040,5950,1200,5994,100,1320,1080,150,19190,4900,1,56,1,4,59262.5
96770,86345.5,0,504,390,1890,4680,1000,1140,840,0,24595,5416,1,55,1,3,-30030.5
108440,55069.0,1695,0,0,2120,4482,0,720,0,360,3000,4530,1,46,3,4,36464.0
147375,83004.0,0,239,0,2920,7926,120,2340,1500,0,16880,5580,0,85,2,4,26866.0
145910,103275.0,12740,0,195,6130,9750,164,7074,2160,9000,15085,8924,1,46,1,7,-28587.0
94435,43434.5,0,0,0,560,5250,680,1440,0,0,0,3220,1,71,1,2,39850.5
111570,65583.0,0,480,0,2350,7194,730,1080,582,0,0,4690,1,48,1,3,28881.0
121160,81571.0,1130,0,0,2120,10518,776,3660,660,50,0,6246,0,35,1,4,14429.0
111620,78876.5,9100,240,0,2885,4482,120,4140,312,1410,15495,6304,1,36,1,5,-11744.5
397828,94769.5,7380,1500,910,5049,10950,1025,6480,2100,500,0,31482,1,41,1,6,235682.5
184840,86906.5,4450,1920,0,1770,8274,0,1560,600,0,0,3378,1,65,1,8,75981.5
291100,70188.5,10380,720,420,2660,15654,50,4992,1500,7900,0,7896,1,56,1,4,168739.5
369096,80860.5,12900,126,0,1590,14736,1224,5370,1080,9000,0,7938,1,54,1,3,234271.5
69635,19576.5,0,0,0,180,5700,300,360,0,0,0,672,0,80,2,1,42846.5
116360,34873.0,0,0,0,280,5460,150,720,60,0,0,26512,0,83,2,1,48305.0
235018,64614.0,4120,480,0,2600,4872,60,2880,660,750,0,5374,1,32,1,4,148608.0
224910,84013.0,4120,216,0,2670,6144,50,6000,1560,600,2900,5476,1,42,1,3,111161.0
182380,57546.0,2260,240,0,1350,5538,0,1800,0,150,0,4096,0,55,1,3,109400.0
209420,102552.5,8970,1040,0,3460,7008,150,1200,840,950,0,6772,1,35,1,6,76477.5
72120,77068.5,4120,252,0,2420,9246,220,3780,1380,600,0,5086,1,37,1,4,-32052.5
261680,122981.5,21000,1040,0,4540,15672,380,7920,1560,830,1900,10800,1,35,1,6,73056.5
173265,43150.0,4780,0,0,2525,13062,1568,5520,1020,2100,68360,5434,1,30,1,4,25746.0
91075,38256.0,0,300,0,730,8958,160,1476,540,0,27250,1680,1,31,0,2,11725.0
209340,95385.0,4295,1220,0,4330,12480,2500,3900,1758,650,33450,4356,1,35,1,7,45016.0
339773,55839.5,1330,1584,760,6255,6198,6075,3900,840,150,37900,10014,1,46,1,4,208927.5
181948,67287.0,2600,881,910,4440,7800,480,4920,1050,0,65305,3810,1,51,1,4,22465.0
216280,87243.5,0,1900,910,2045,18264,3600,2700,1380,350,32650,6234,1,67,2,5,59003.5
206165,75851.5,0,1505,780,2070,11454,1269,4920,540,100,35460,7674,1,72,1,8,64541.5
246077,84485.0,1530,1211,0,1915,14940,11730,2976,360,1650,81735,4554,1,46,1,5,38991.0
238996,106770.0,2260,611,780,6205,10890,430,4170,480,150,83370,4872,1,66,2,9,18008.0
65490,24649.0,0,0,0,260,4320,900,2760,600,0,0,2388,0,48,2,1,29613.0
178101,106476.5,3390,840,210,2060,10806,344,4152,480,2200,46805,7974,1,65,1,10,-7636.5
219295,64426.5,0,611,910,1270,9162,9150,4020,780,0,73660,41996,0,53,2,4,13309.5
286490,111576.0,656,0,260,2390,17886,10970,6930,2400,150,98015,5928,1,46,1,7,29329.0
147795,94626.0,450,285,345,2195,6600,80,4920,540,150,40375,9522,1,50,1,6,-12293.0
179125,70299.5,0,135,1046,2570,10500,2254,5268,960,35,62725,4356,1,65,1,4,18976.5
225685,75583.5,0,2080,760,2090,7284,50,2760,660,3991,61370,6858,1,67,1,4,62198.5
739045,97252.5,1000,2650,4790,16143,6780,5500,22494,1140,2360,55035,127574,1,60,1,4,396326.5
180020,74148.0,0,1920,240,6970,5976,0,0,390,0,57615,2854,1,33,1,6,29907.0
91690,67803.0,0,0,0,1045,6000,0,1920,0,0,29435,1854,0,78,2,5,-16367.0
159805,39976.0,0,0,0,2375,6120,50,2280,720,250,61500,3000,0,49,2,4,43534.0
202433,50838.5,0,2960,240,2015,6090,0,0,0,300,84640,2100,1,46,1,7,53249.5
395784,81037.0,0,1820,0,4560,7050,1930,12540,900,4800,62217,11706,1,60,2,4,207224.0
236460,42366.0,0,650,1040,2115,5346,0,6840,1140,0,87880,2286,1,70,1,4,86797.0
196446,47936.5,0,0,0,2590,4686,5244,9540,1170,0,32400,3990,1,70,1,3,88889.5
406810,73834.0,0,1980,7298,5375,7668,100,6600,840,0,52700,16980,1,51,1,5,233435.0
168270,101342.5,0,360,0,500,5052,1050,3660,840,150,33860,5888,1,45,1,2,15567.5
552074,79433.5,1000,1300,0,7660,7578,4850,8616,2400,0,0,49034,1,50,1,5,390202.5
184825,111352.0,0,900,790,5020,6846,450,3360,720,2600,59130,4638,1,53,0,9,-10981.0
