Date,Open,High,Low,Close,Adj Close,Volume
2008-05-06,821.0,834.400024,807.0,818.0,597.768799,28472.0
2008-05-07,815.0,831.5,805.0,821.200012,600.1073,54849.0
2008-05-08,816.0,817.0,807.0,812.849976,594.00531,42486.0
2008-05-09,813.950012,815.900024,802.099976,812.650024,593.85907,49933.0
2008-05-12,800.0,827.0,790.099976,799.25,584.066833,27418.0
2008-05-13,799.0,808.799988,791.0,797.900024,583.080322,18630.0
2008-05-14,807.0,823.650024,792.099976,817.849976,597.65918,17020.0
2008-05-15,820.0,822.0,802.5,805.5,588.634094,13735.0
2008-05-16,817.0,817.0,803.0,805.299988,588.488037,9910.0
2008-05-20,814.0,814.0,800.0,802.349976,586.332214,19059.0
2008-05-21,795.0,802.0,780.0,788.75,576.393799,15638.0
2008-05-22,780.0,797.0,765.099976,788.5,576.211121,26899.0
2008-05-23,799.0,802.0,780.0,797.549988,582.824585,19753.0
2008-05-26,699.0,793.0,699.0,789.0,576.576477,21998.0
2008-05-27,785.0,799.0,768.5,784.5,573.287964,219223.0
2008-05-28,785.0,805.0,773.0,800.599976,585.053406,22136.0
2008-05-29,792.549988,799.0,768.5,778.400024,568.830444,32647.0
2008-05-30,782.0,782.0,735.049988,746.700012,545.664856,49973.0
2008-06-02,765.0,799.900024,756.0,788.549988,576.24762,100062.0
2008-06-03,779.0,800.0,752.099976,798.0,583.153381,43554.0
2008-06-04,800.0,803.099976,755.0,776.75,567.624573,124683.0
2008-06-05,758.0,782.25,757.900024,769.650024,562.436218,17395.0
2008-06-06,794.900024,794.900024,755.0,755.0,551.730408,12157.0
2008-06-09,749.0,787.0,730.0,787.0,575.11499,52963.0
2008-06-10,781.450012,781.450012,743.0,761.0,556.11499,8494.0
2008-06-11,760.0,829.0,760.0,809.049988,591.228394,37777.0
2008-06-12,795.0,815.0,761.0,806.700012,589.510986,62252.0
2008-06-13,802.0,805.299988,771.150024,777.049988,567.843811,24213.0
2008-06-16,796.950012,796.950012,761.049988,762.799988,557.430237,23801.0
2008-06-17,770.0,785.0,762.0,772.549988,564.555359,18484.0
2008-06-18,755.0,796.0,755.0,791.299988,578.257202,59071.0
2008-06-19,788.0,796.900024,757.700012,790.700012,577.818787,10950.0
2008-06-20,796.0,796.0,748.0,759.0,554.653381,16405.0
2008-06-23,750.0,761.799988,732.0,733.0,535.653442,27179.0
2008-06-24,721.0,744.849976,692.099976,704.849976,515.082275,20241.0
2008-06-25,690.0,717.0,665.0,700.0,511.538025,70725.0
2008-06-26,706.0,735.0,680.0,713.25,521.220764,26310.0
2008-06-27,699.0,711.0,670.0,680.400024,497.215057,29659.0
2008-06-30,680.099976,697.900024,672.0,682.799988,498.968872,20971.0
2008-07-01,690.0,693.900024,674.0,682.200012,498.530365,51132.0
2008-07-02,675.0,698.950012,670.0,683.700012,499.626556,112399.0
2008-07-03,682.0,696.0,650.0,662.0,483.768799,30573.0
2008-07-04,664.0,682.0,660.0,669.0,488.884247,25627.0
2008-07-07,660.0,699.0,650.0,691.700012,505.472626,45871.0
2008-07-08,675.0,710.0,673.900024,698.099976,510.149475,189269.0
2008-07-09,698.0,730.0,675.0,729.0,532.730469,70705.0
2008-07-10,711.0,725.0,685.0,687.799988,502.62265,118407.0
2008-07-11,695.0,700.0,658.0,668.200012,488.299744,52792.0
2008-07-14,668.200012,679.0,655.0,658.200012,480.991852,70868.0
2008-07-15,654.0,659.0,644.0,653.549988,477.593842,24166.0
2008-07-16,652.0,664.0,630.150024,638.75,466.778503,44219.0
2008-07-17,652.75,667.0,642.0,658.900024,481.50354,116982.0
2008-07-18,665.0,684.900024,653.0,680.150024,497.032318,69888.0
2008-07-21,682.0,729.0,679.900024,716.75,523.778381,20479.0
2008-07-22,716.0,742.0,703.0,725.950012,530.501465,43888.0
2008-07-23,747.0,755.900024,734.150024,747.799988,546.468811,49182.0
2008-07-24,750.0,772.0,738.0,762.049988,556.882202,30450.0
2008-07-25,750.0,765.0,741.450012,757.75,553.73999,14225.0
2008-07-28,746.349976,770.950012,746.349976,760.349976,555.640076,41410.0
2008-07-29,750.0,760.0,728.0,728.150024,532.109253,21800.0
2008-07-30,744.0,788.5,744.0,782.299988,571.680359,62900.0
2008-07-31,788.0,809.799988,777.0,804.650024,588.013062,325000.0
2008-08-01,790.0,805.0,769.0,795.75,581.509277,43600.0
2008-08-04,797.0,800.0,760.0,795.200012,581.107239,47800.0
2008-08-05,798.0,845.799988,790.099976,828.849976,605.697571,139500.0
2008-08-06,842.0,842.0,817.150024,819.150024,598.609192,63500.0
2008-08-07,814.0,827.0,814.0,820.099976,599.303284,50500.0
2008-08-08,817.049988,828.75,817.049988,821.599976,600.399536,34800.0
2008-08-11,830.0,835.0,819.0,827.049988,604.382263,50300.0
