Stock,Closing Price
ADANIPORTS,215.63654
ASIANPAINT,872.8787
AXISBANK,480.4408
BAJAJ-AUTO,2517.0745
BHARTIARTL,358.94055
COALINDIA,320.72614
DRREDDY,3009.245
HDFC,1120.6184
HDFCBANK,1110.8173
HEROMOTOCO,2893.8323
HINDUNILVR,880.9915
ICICIBANK,203.36627
INDUSINDBK,1023.63336
INFY,1232.0691
ITC,213.7449
KOTAKBANK,677.82513
LT,846.725
M&M,673.84033
MARUTI,3862.0884
ONGC,142.05759
POWERGRID,145.8405
RELIANCE,483.5892
SBIN,190.20328
SUNPHARMA,808.4513
TATAMOTORS,397.03183
TATAMTRDVR,321.1721
TATASTEEL,317.59656
TCS,2466.0408
WIPRO,273.10916
YESBANK,185.07762
