Stock,Risk,Percentage
ADANIPORTS,High,-0.3281378178835111
ASIANPAINT,Low,4.703476482617587
AXISBANK,High,0.12239902080783353
BAJAJ-AUTO,High,1.2710127101271014
BHARTIARTL,High,-2.8641571194762685
COALINDIA,High,0.1091703056768559
DRREDDY,Low,2.733578131374949
HDFC,High,0.20449897750511248
HDFCBANK,Low,3.600654664484452
HEROMOTOCO,High,-0.6129955046996322
HINDUNILVR,Medium,1.6768916155419222
ICICIBANK,High,-1.2254901960784315
INDUSINDBK,Low,3.436988543371522
INFY,Low,2.938775510204082
ITC,Low,3.7735849056603774
KOTAKBANK,Low,2.9808084932625563
LT,High,-2.3293829178586023
M&M,Medium,1.7128874388254487
MARUTI,High,0.7334963325183375
ONGC,High,-1.1024908125765618
POWERGRID,High,-0.6226650062266501
RELIANCE,High,-0.36809815950920244
SBIN,Medium,1.5120555782590928
SUNPHARMA,Medium,2.528548123980424
TATAMOTORS,High,-0.7758268681094325
TATAMTRDVR,Medium,2.4434389140271495
TATASTEEL,High,-0.5709624796084829
TCS,Low,3.064977523498161
WIPRO,Low,3.4341782502044156
YESBANK,Low,2.8174765210289916
